brand,url,host,slug,logo_path,logo_status,logo_source,logo_url,logo_error
365pg,https://365pg.br.com,365pg.br.com,365pg,assets/logos/365pg.webp,fetched,img,https://365pg.br.com/assets/images/365pg.png,
365score,https://365score.br.com,365score.br.com,365score,assets/logos/365score.webp,fetched,img,https://365score.br.com/assets/images/365score.png,
368bet,https://368betbrasil.com,368betbrasil.com,368bet,assets/logos/368bet.webp,fetched,img,https://368betbrasil.com/assets/images/368bet.png,
377bet,https://377bett.online,377bett.online,377bet,assets/logos/377bet.webp,fetched,img,https://377bett.online/assets/images/377bet.png,
389bet,https://389betbrasil.com,389betbrasil.com,389bet,assets/logos/389bet.webp,fetched,img,https://389betbrasil.com/img/logo.webp,
41bet,https://41betbrasil.com,41betbrasil.com,41bet,assets/logos/41bet.webp,fetched,img,https://41betbrasil.com/img/logo.webp,
4242bet,https://4242betbrasil.com,4242betbrasil.com,4242bet,assets/logos/4242bet.webp,fetched,img,https://4242betbrasil.com/assets/images/4242bet.png,
444wim,https://444wimbrasil.com,444wimbrasil.com,444wim,assets/logos/444wim.webp,fetched,img,https://444wimbrasil.com/img/logo.webp,
444win,https://444wincom.net,444wincom.net,444win,assets/logos/444win.webp,fetched,img,https://444wincom.net/assets/images/444win.png,
445bet,https://445bet.br.com,445bet.br.com,445bet,assets/logos/445bet.webp,fetched,twitter:image,https://445bet.br.com/static/picture/445BET.png,
44win,https://44winbrasil.com,44winbrasil.com,44win,assets/logos/44win.webp,fetched,img,https://44winbrasil.com/img/logo.webp,
450bet,https://450betbrasil.com,450betbrasil.com,450bet,assets/logos/450bet.webp,fetched,img,https://450betbrasil.com/assets/images/450bet.png,
45br,https://45br.br.com,45br.br.com,45br,assets/logos/45br.svg,fetched,og:image,https://45br.br.com/assets/images/site-og.svg,
474bet,https://474bet.br.com,474bet.br.com,474bet,assets/logos/474bet.webp,fetched,img,https://474bet.br.com/assets/images/474bet.png,
4kbet,https://4kbet.br.com,4kbet.br.com,4kbet,assets/logos/4kbet.webp,fetched,img,https://4kbet.br.com/assets/images/4kbet.png,
511bet,https://511bet.br.com,511bet.br.com,511bet,assets/logos/511bet.webp,fetched,img,https://511bet.br.com/assets/images/511bet.png,
520bet,https://520betbrasil.com,520betbrasil.com,520bet,assets/logos/520bet.webp,fetched,img,https://520betbrasil.com/assets/images/520bet.png,
523bet,https://523betbrasil.com,523betbrasil.com,523bet,assets/logos/523bet.webp,fetched,img,https://523betbrasil.com/assets/images/523bet.png,
5500bet,https://5500bet.studio,5500bet.studio,5500bet,assets/logos/5500bet.webp,fetched,img,https://5500bet.studio/assets/images/5500bet.png,
550bet,https://550betbrasil.com,550betbrasil.com,550bet,assets/logos/550bet.webp,fetched,img,https://550betbrasil.com/assets/images/550bet.png,
5555win,https://5555winbrasil.com,5555winbrasil.com,5555win,assets/logos/5555win.webp,fetched,img,https://5555winbrasil.com/assets/images/5555win.png,
555wim,https://555wimbrasil.com,555wimbrasil.com,555wim,assets/logos/555wim.webp,fetched,img,https://555wimbrasil.com/assets/images/555wim.png,
556bet,https://556bett.org,556bett.org,556bet,assets/logos/556bet.webp,fetched,img,https://556bett.org/assets/images/556bet.png,
55933bet,https://55933bet.br.com,55933bet.br.com,55933bet,assets/logos/55933bet.webp,fetched,img,https://55933bet.br.com/assets/images/55933bet.png,
5599bet,https://5599betbrasil.com,5599betbrasil.com,5599bet,assets/logos/5599bet.webp,fetched,img,https://5599betbrasil.com/assets/images/5599bet.png,
55luck,https://55luckbrasil.com,55luckbrasil.com,55luck,assets/logos/55luck.webp,fetched,img,https://55luckbrasil.com/assets/images/55luck.png,
55m,https://55m.br.com,55m.br.com,55m,assets/logos/55m.webp,fetched,img,https://55m.br.com/assets/images/55m.png,
55win,https://55winbrasil.com,55winbrasil.com,55win,assets/logos/55win.webp,fetched,img,https://55winbrasil.com/assets/images/55win.png,
5637bet,https://5637betbrasil.com,5637betbrasil.com,5637bet,assets/logos/5637bet.webp,fetched,img,https://5637betbrasil.com/assets/images/5637bet.png,
567wim,https://567wim.br.com,567wim.br.com,567wim,assets/logos/567wim.webp,fetched,img,https://567wim.br.com/assets/images/567wim.png,
567win,https://567win.br.com,567win.br.com,567win,assets/logos/567win.webp,fetched,img,https://567win.br.com/assets/images/567win.png,
568bet,https://568betbrasil.com,568betbrasil.com,568bet,assets/logos/568bet.webp,fetched,img,https://568betbrasil.com/img/logo.webp,
57wim,https://57wim.br.com,57wim.br.com,57wim,assets/logos/57wim.webp,fetched,img,https://57wim.br.com/assets/images/57wim.png,
5mpg,https://5mpg.br.com,5mpg.br.com,5mpg,assets/logos/5mpg.webp,fetched,img,https://5mpg.br.com/assets/images/5mpg.png,
5ubet,https://5ubet.br.com,5ubet.br.com,5ubet,assets/logos/5ubet.webp,fetched,img,https://5ubet.br.com/assets/images/5ubet.png,
5wim,https://5wim.br.com,5wim.br.com,5wim,assets/logos/5wim.webp,fetched,img,https://5wim.br.com/assets/images/5wim.png,
611bet,https://611betbrasil.com,611betbrasil.com,611bet,assets/logos/611bet.webp,fetched,img,https://611betbrasil.com/assets/images/611bet.png,
6171bet,https://6171bet.br.com,6171bet.br.com,6171bet,assets/logos/6171bet.webp,fetched,img,https://6171bet.br.com/assets/images/6171bet.png,
618bet,https://618betbrasil.com,618betbrasil.com,618bet,assets/logos/618bet.webp,fetched,img,https://618betbrasil.com/assets/images/618bet.png,
64bet,https://64bet.br.com,64bet.br.com,64bet,assets/logos/64bet.webp,fetched,img,https://64bet.br.com/assets/images/64bet.png,
6500bet,https://6500betbrasil.com,6500betbrasil.com,6500bet,assets/logos/6500bet.webp,fetched,img,https://6500betbrasil.com/assets/images/6500bet.png,
650bet,https://650betbrasil.com,650betbrasil.com,650bet,assets/logos/650bet.webp,fetched,img,https://650betbrasil.com/assets/images/650bet.png,
654bet,https://654betbrasil.com,654betbrasil.com,654bet,assets/logos/654bet.webp,fetched,img,https://654betbrasil.com/assets/images/654bet.png,
657bet,https://657betbrasil.com,657betbrasil.com,657bet,assets/logos/657bet.webp,fetched,img,https://657betbrasil.com/assets/images/657bet.png,
662bet,https://662bet.br.com,662bet.br.com,662bet,assets/logos/662bet.webp,fetched,img,https://662bet.br.com/assets/images/662bet.png,
6633bet,https://6633betbrasil.com,6633betbrasil.com,6633bet,assets/logos/6633bet.webp,fetched,img,https://6633betbrasil.com/assets/images/6633bet.png,
6665bet,https://6665betbrasil.com,6665betbrasil.com,6665bet,assets/logos/6665bet.webp,fetched,img,https://6665betbrasil.com/images/logo.png,
667bet,https://667betco.com,667betco.com,667bet,assets/logos/667bet.webp,fetched,img,https://667betco.com/assets/images/667bet.png,
6680bet,https://6680betbrasil.com,6680betbrasil.com,6680bet,assets/logos/6680bet.webp,fetched,img,https://6680betbrasil.com/assets/images/6680bet.png,
66brl,https://66brl.br.com,66brl.br.com,66brl,assets/logos/66brl.webp,fetched,img,https://66brl.br.com/assets/images/66brl.png,
67bet,https://67bet.click,67bet.click,67bet,assets/logos/67bet.webp,fetched,img,https://67bet.click/assets/images/67bet.png,
6zbet,https://6zbetbrasil.com,6zbetbrasil.com,6zbet,assets/logos/6zbet.webp,fetched,og:image,https://6zbetbrasil.com/images/6zbet.png,
70bet,https://70bets.win,70bets.win,70bet,assets/logos/70bet.webp,fetched,img,https://70bets.win/assets/images/70bet.png,
7200bet,https://7200betbrasil.com,7200betbrasil.com,7200bet,assets/logos/7200bet.webp,fetched,img,https://7200betbrasil.com/assets/images/7200bet.png,
72pagbet,https://72pagbet.br.com,72pagbet.br.com,72pagbet,assets/logos/72pagbet.webp,fetched,img,https://72pagbet.br.com/assets/images/72pagbet.png,
770bet,https://770betbrasil.com,770betbrasil.com,770bet,assets/logos/770bet.webp,fetched,img,https://770betbrasil.com/assets/images/770bet.png,
775bet,https://775betcom.net,775betcom.net,775bet,assets/logos/775bet.webp,fetched,img,https://775betcom.net/assets/images/775bet.png,
7777,https://7777.br.com,7777.br.com,7777,assets/logos/7777.webp,fetched,img,https://7777.br.com/assets/images/7777.png,
77788bet,https://77788betbrasil.com,77788betbrasil.com,77788bet,assets/logos/77788bet.webp,fetched,img,https://77788betbrasil.com/assets/images/77788bet.png,
777br,https://777br.br.com,777br.br.com,777br,assets/logos/777br.webp,fetched,img,https://777br.br.com/assets/images/777br.png,
777dd,https://777ddbrasil.com,777ddbrasil.com,777dd,assets/logos/777dd.webp,fetched,img,https://777ddbrasil.com/assets/images/777dd.png,
777game,https://777gamebrasil.com,777gamebrasil.com,777game,assets/logos/777game.webp,fetched,img,https://777gamebrasil.com/images/logo.png,
777games,https://777games.br.com,777games.br.com,777games,assets/logos/777games.webp,fetched,img,https://777games.br.com/assets/images/777games.png,
777gbet,https://777gbet.io,777gbet.io,777gbet,assets/logos/777gbet.webp,fetched,img,https://777gbet.io/assets/images/777gbet.png,
777log,https://777logbrasil.com,777logbrasil.com,777log,assets/logos/777log.webp,fetched,img,https://777logbrasil.com/assets/images/777log.png,
777plus,https://777plus.br.com,777plus.br.com,777plus,assets/logos/777plus.webp,fetched,img,https://777plus.br.com/assets/images/777plus.png,
777rio,https://777riobrasil.com,777riobrasil.com,777rio,assets/logos/777rio.webp,fetched,og:image,https://777riobrasil.com/images/777rio.png,
777wim,https://777wimbrasil.com,777wimbrasil.com,777wim,assets/logos/777wim.webp,fetched,img,https://777wimbrasil.com/assets/images/777wim.png,
778bet,https://778betbrasil.com,778betbrasil.com,778bet,assets/logos/778bet.webp,fetched,img,https://778betbrasil.com/img/logo.webp,
77bra,https://77brabrasil.com,77brabrasil.com,77bra,assets/logos/77bra.webp,fetched,img,https://77brabrasil.com/img/logo.webp,
77f,https://77f.br.com,77f.br.com,77f,assets/logos/77f.webp,fetched,img,https://77f.br.com/assets/images/77f.png,
77game,https://77gamebrasil.com,77gamebrasil.com,77game,assets/logos/77game.webp,fetched,img,https://77gamebrasil.com/assets/images/77game.png,
7878bet,https://7878betbrasil.com,7878betbrasil.com,7878bet,assets/logos/7878bet.webp,fetched,img,https://7878betbrasil.com/assets/images/7878bet.png,
7888bet,https://7888betbrasil.com,7888betbrasil.com,7888bet,assets/logos/7888bet.webp,fetched,img,https://7888betbrasil.com/assets/images/7888bet.png,
789luck,https://789luckbrasil.com,789luckbrasil.com,789luck,assets/logos/789luck.webp,fetched,img,https://789luckbrasil.com/assets/images/789luck.png,
79bet,https://79betapp.br.com,79betapp.br.com,79bet,assets/logos/79bet.webp,fetched,img,https://79betapp.br.com/assets/images/79betapp.png,
7b777,https://7b777.br.com,7b777.br.com,7b777,assets/logos/7b777.webp,fetched,img,https://7b777.br.com/assets/images/7b777.png,
7y777,https://7y777brasil.com,7y777brasil.com,7y777,assets/logos/7y777.webp,fetched,img,https://7y777brasil.com/assets/images/7y777.png,
8000bet,https://8000betbrasil.com,8000betbrasil.com,8000bet,assets/logos/8000bet.webp,fetched,img,https://8000betbrasil.com/assets/images/8000bet.png,
8090bet,https://8090betbrasil.com,8090betbrasil.com,8090bet,assets/logos/8090bet.webp,fetched,img,https://8090betbrasil.com/assets/images/8090bet.png,
80games,https://80gamesbrasil.com,80gamesbrasil.com,80games,assets/logos/80games.webp,fetched,img,https://80gamesbrasil.com/img/logo.webp,
